,Name,Brand,Model,Battery,Screen,Touchscreen,Resolution_x,Resolution_y,Processor_Cores,RAM,Storage,Rear_Camera,Front_Camera,OS,Wi_Fi,Bluetooth,GPS,SIMs,H_3G,LTE_4G,Price
991,HTC 10 evo,HTC,10 evo,3200,5.50,Yes,1440,2560,8,3000,32.000,16.00,8.00,Android,Yes,Yes,Yes,1,Yes,Yes,11100
992,Lyf Wind 7i,Lyf,Wind 7i,2250,5.00,Yes,720,1280,4,1000,8.000,8.00,5.00,Android,Yes,Yes,Yes,2,Yes,Yes,5099
993,Panasonic P71,Panasonic,P71,2000,5.00,Yes,720,1280,4,1000,16.000,8.00,2.00,Android,Yes,Yes,Yes,2,No,Yes,6998
994,Zopo Color F2,Zopo,Color F2,2300,5.50,Yes,720,1280,4,2000,16.000,8.00,5.00,Android,Yes,Yes,Yes,2,Yes,Yes,4598
995,Motorola Moto M,Motorola,Moto M,3050,5.50,Yes,1080,1920,8,3000,32.000,16.00,8.00,Android,Yes,Yes,Yes,2,Yes,Yes,7499
996,Lyf F8,Lyf,F8,2000,4.50,Yes,480,854,4,1000,8.000,8.00,5.00,Android,Yes,Yes,Yes,2,Yes,Yes,3499
997,Huawei Mate 9,Huawei,Mate 9,4000,5.90,Yes,1080,1920,8,4000,64.000,20.00,8.00,Android,Yes,Yes,Yes,2,Yes,Yes,53983
998,Intex Aqua Power M,Intex,Aqua Power M,4350,5.00,Yes,720,1280,4,1000,8.000,0.00,0.00,Android,Yes,Yes,Yes,2,No,No,3499
999,Zen Cinemax 2+,Zen,Cinemax 2+,2900,5.50,Yes,480,854,4,1000,8.000,5.00,3.20,Android,Yes,Yes,Yes,2,Yes,No,3739
1000,Swipe Elite 2 Plus,Swipe,Elite 2 Plus,2500,5.00,Yes,480,854,4,1000,8.000,5.00,2.00,Android,Yes,Yes,Yes,2,Yes,Yes,4999
1001,Samsung Galaxy On Nxt,Samsung,Galaxy On Nxt,3300,5.50,Yes,1080,1920,8,3000,16.000,13.00,8.00,Android,Yes,Yes,Yes,2,Yes,Yes,11200
1002,Xolo Era 2,Xolo,Era 2,2350,5.00,Yes,720,1280,4,1000,8.000,5.00,5.00,Android,Yes,Yes,Yes,2,No,No,4099
1003,Zopo Color F5,Zopo,Color F5,2100,5.00,Yes,720,1280,4,2000,16.000,8.00,5.00,Android,Yes,Yes,Yes,2,Yes,Yes,4289
1004,Intex Cloud S9,Intex,Cloud S9,3650,5.50,Yes,720,1280,4,2000,16.000,8.00,5.00,Android,Yes,Yes,Yes,2,Yes,Yes,6772
1005,Intex Aqua Q8,Intex,Aqua Q8,1650,4.50,Yes,480,854,4,1000,8.000,5.00,0.30,Android,Yes,Yes,Yes,2,Yes,No,2699
1006,Intex Aqua Craze II,Intex,Aqua Craze II,2500,5.00,Yes,720,1280,4,1000,8.000,5.00,5.00,Android,Yes,Yes,Yes,2,Yes,Yes,5429
1007,Intex Aqua 5.5 VR,Intex,Aqua 5.5 VR,2800,5.50,Yes,720,1280,4,1000,8.000,5.00,5.00,Android,Yes,Yes,Yes,2,Yes,Yes,5849
1008,Intex Aqua S2,Intex,Aqua S2,2450,5.00,Yes,480,854,4,1000,8.000,5.00,5.00,Android,Yes,Yes,Yes,2,Yes,No,3999
1009,Honor 8 Smart,Honor,8 Smart,3000,5.20,Yes,1080,1920,8,2000,16.000,13.00,8.00,Android,Yes,Yes,Yes,1,No,Yes,16699
1010,Honor Holly 3,Honor,Holly 3,3100,5.50,Yes,720,1280,8,2000,16.000,13.00,8.00,Android,Yes,Yes,Yes,1,No,No,5999
1011,BlackBerry DTEK60,BlackBerry,DTEK60,3000,5.50,Yes,1440,2560,4,4000,32.000,21.00,8.00,Android,Yes,Yes,Yes,1,Yes,Yes,16999
1012,Xiaomi Mi Max Prime,Xiaomi,Mi Max Prime,4850,6.44,Yes,1080,1920,6,4000,128.000,16.00,5.00,Android,Yes,Yes,Yes,2,Yes,Yes,19999
1013,Lyf Wind 4S,Lyf,Wind 4S,4000,5.00,Yes,720,1820,4,2000,16.000,8.00,2.00,Android,Yes,Yes,Yes,2,Yes,Yes,6498
1014,Lyf Flame 7s,Lyf,Flame 7s,1800,4.00,Yes,480,800,4,1000,8.000,5.00,0.30,Android,Yes,Yes,Yes,2,No,Yes,3579
1015,Zen Cinemax Force,Zen,Cinemax Force,2900,5.50,Yes,854,480,4,1000,8.000,5.00,2.00,Android,Yes,Yes,Yes,2,Yes,No,2999
1016,Intex Aqua Strong 5.2,Intex,Aqua Strong 5.2,2800,5.00,Yes,480,854,4,2000,16.000,5.00,2.00,Android,Yes,Yes,Yes,2,Yes,Yes,5949
1017,Vivo Y55L,Vivo,Y55L,2730,5.20,Yes,1280,720,8,2000,16.000,8.00,5.00,Android,Yes,Yes,Yes,1,No,No,10450
1018,Google Pixel,Google,Pixel,2770,5.00,Yes,1080,1920,4,4000,32.000,12.30,8.00,Android,Yes,Yes,Yes,1,Yes,Yes,22299
1019,Karbonn Titanium 3-D Plex,Karbonn,Titanium 3-D Plex,2300,5.00,Yes,480,854,1,512,4.000,3.20,0.30,Android,Yes,Yes,Yes,2,Yes,No,3999
1020,Intex Aqua Pro 4G,Intex,Aqua Pro 4G,2000,4.50,Yes,480,854,1,1000,8.000,5.00,2.00,Android,No,Yes,Yes,2,No,No,4532
1021,Gionee P7 Max,Gionee,P7 Max,3100,5.50,Yes,720,1080,8,3000,32.000,13.00,5.00,Android,Yes,Yes,Yes,2,No,No,5999
1022,Coolpad Note 5,Coolpad,Note 5,4010,5.50,Yes,1080,1920,8,4000,32.000,13.00,8.00,Android,Yes,Yes,Yes,2,Yes,Yes,12050
1023,Lava A97,Lava,A97,2350,5.00,Yes,480,854,4,1000,8.000,5.00,5.00,Android,Yes,Yes,Yes,2,Yes,Yes,5500
1024,Samsung Galaxy On8,Samsung,Galaxy On8,3300,5.50,Yes,1080,1920,8,3000,16.000,13.00,5.00,Android,Yes,Yes,Yes,2,Yes,Yes,7999
1025,Micromax Canvas 5 Lite,Micromax,Canvas 5 Lite,2000,5.00,Yes,720,1280,4,2000,16.000,8.00,5.00,Android,Yes,Yes,Yes,2,Yes,Yes,4299
1026,Panasonic P77,Panasonic,P77,2000,5.00,Yes,720,1280,4,1000,8.000,8.00,2.00,Android,Yes,Yes,Yes,2,No,Yes,6990
1027,Lava A56,Lava,A56,1850,5.00,Yes,480,854,2,512,4.000,5.00,0.30,Android,Yes,Yes,No,2,No,No,2299
1028,Lava X28,Lava,X28,2600,5.50,Yes,720,1280,4,1000,8.000,8.00,5.00,Android,Yes,Yes,Yes,2,Yes,Yes,6400
1029,Micromax Bolt Q326+,Micromax,Bolt Q326+,1400,4.00,Yes,480,800,4,1000,8.000,5.00,0.30,Android,Yes,Yes,Yes,2,Yes,No,3195
1030,HTC Desire 10 Lifestyle,HTC,Desire 10 Lifestyle,2700,5.50,Yes,720,1280,4,2000,32.000,13.00,5.00,Android,Yes,Yes,Yes,2,Yes,Yes,16000
1031,Samsung Galaxy J5 Prime,Samsung,Galaxy J5 Prime,2400,5.00,Yes,720,1280,4,2000,16.000,13.00,5.00,Android,Yes,Yes,Yes,2,Yes,Yes,12499
1032,Videocon Cube 3,Videocon,Cube 3,3000,5.00,Yes,720,1280,4,3000,32.000,13.00,5.00,Android,Yes,Yes,Yes,2,Yes,Yes,8250
1033,Zopo Color F1,Zopo,Color F1,2300,5.50,Yes,720,1280,4,1000,16.000,8.00,2.00,Android,Yes,Yes,Yes,2,Yes,No,4333
1034,Lenovo A7700,Lenovo,A7700,2900,5.50,Yes,720,1280,4,2000,16.000,8.00,2.00,Android,Yes,Yes,Yes,2,Yes,Yes,6990
1035,Lenovo A6600 Plus,Lenovo,A6600 Plus,2300,5.00,Yes,720,1280,4,2000,16.000,8.00,2.00,Android,Yes,Yes,Yes,2,Yes,Yes,7300
1036,Lenovo A6600,Lenovo,A6600,2300,5.00,Yes,720,1280,4,1000,16.000,8.00,2.00,Android,Yes,Yes,Yes,2,Yes,Yes,7450
1037,Zen Admire Star,Zen,Admire Star,2000,4.50,Yes,480,854,4,512,8.000,5.00,1.30,Android,Yes,Yes,Yes,2,Yes,No,2799
1038,Samsung Galaxy Folder 2,Samsung,Galaxy Folder 2,1950,3.80,No,480,800,4,2000,16.000,8.00,5.00,Android,Yes,Yes,Yes,1,No,Yes,16990
1039,Xolo Era 1X,Xolo,Era 1X,2500,5.00,Yes,1280,720,4,1000,8.000,8.00,5.00,Android,Yes,Yes,Yes,2,Yes,Yes,5149
1040,Intex Aqua Costa,Intex,Aqua Costa,2200,5.00,Yes,480,854,4,2000,8.000,5.00,2.00,Android,Yes,Yes,Yes,2,Yes,No,2999
1041,Intex Aqua Q7N Pro,Intex,Aqua Q7N Pro,2000,4.50,Yes,480,854,4,1000,8.000,5.00,0.30,Android,Yes,Yes,Yes,2,Yes,Yes,2700
1042,Lyf Water 10,Lyf,Water 10,2300,5.00,Yes,720,1280,8,3000,16.000,13.00,5.00,Android,Yes,Yes,Yes,2,Yes,Yes,4060
1043,Vivo Y21L,Vivo,Y21L,2000,4.50,Yes,480,854,4,1000,16.000,5.00,2.00,Android,Yes,Yes,Yes,2,Yes,Yes,7100
1044,Intex Cloud Tread,Intex,Cloud Tread,2200,5.00,Yes,720,1280,6,2000,16.000,5.00,5.00,Android,Yes,Yes,Yes,2,Yes,No,4299
1045,InFocus Bingo 50+,InFocus,Bingo 50+,2600,5.50,Yes,1280,720,4,3000,16.000,13.00,8.00,Android,Yes,Yes,No,2,No,Yes,6499
1046,Samsung Z2,Samsung,Z2,1500,4.00,Yes,480,800,4,1000,8.000,5.00,0.30,Tizen,Yes,Yes,Yes,2,Yes,Yes,3599
1047,Yu Yureka S,Yu,reka S,3000,5.20,Yes,1080,1920,4,3000,16.000,13.00,5.00,Android,Yes,Yes,Yes,2,Yes,Yes,7000
1048,Yu Yunique Plus,Yu,nique Plus,2000,4.70,Yes,720,1280,4,2000,8.000,8.00,2.00,Android,Yes,No,Yes,2,Yes,Yes,6199
1049,Celkon Millennia Ufeel,Celkon,Millennia Ufeel,2000,5.00,Yes,480,854,4,1000,8.000,5.00,3.20,Android,Yes,Yes,Yes,2,Yes,No,3999
1050,Intex Aqua Eco 4G,Intex,Aqua Eco 4G,1400,4.00,No,480,800,4,512,4.000,2.00,0.30,Android,Yes,Yes,Yes,1,Yes,Yes,3990
